Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Large Ownership,DK Small Ownership,DKSlateID,DK Floor,DK Ceiling
Nate Adkins,DEN,@BUF,TE,2500,1.7,-6.2,0,0,37243041,0,4.9
Derius Davis,LAC,@HOU,WR,3300,3.3,-6.2,0.6,0.4,37242803,0,9.4
Tucker Fisk,LAC,@HOU,TE,2500,1.7,-6.2,0,0,37243055,0,4.9
Charlie Kolar,BAL,PIT,TE,2500,1.7,-6.3,0,0,37243069,0,5
Colby Parkinson,LA,MIN,TE,2500,1.7,-6.3,0,0,37242993,0,4.8
Gus Edwards,LAC,@HOU,RB,4300,5,-6.5,0.3,0.1,37242637,0.6,12.6
Darnell Washington,PIT,@BAL,TE,2500,1.5,-6.5,0,0,37243075,0,4.4
John Bates,WAS,@TB,TE,2500,1.5,-6.5,0,0,37242991,0,4.4
Lil'Jordan Humphrey,DEN,@BUF,WR,3000,2.1,-6.8,0,0,37242887,0,5.9
Bo Melton,GB,@PHI,WR,3200,2.5,-6.8,0,0,37242813,0,7.6
Jamison Crowder,WAS,@TB,WR,3400,3,-6.8,0,0,37242797,0,7.7
Ty Johnson,BUF,DEN,RB,4200,4.3,-7,0.4,0.5,37242641,0.4,10.3
Grant Calcaterra,PHI,GB,TE,2800,1.5,-7.1,0,0,37242981,0,4.3
Mike Williams,PIT,@BAL,WR,3300,2.5,-7.1,0,0,37242801,0,6.9
Cam Akers,MIN,@LA,RB,4800,5.4,-7.2,0.3,0.1,37242619,0.7,12.9
Connor Heyward,PIT,@BAL,TE,2500,0.7,-7.2,0,0,37243079,0,2.7
Luke McCaffrey,WAS,@TB,WR,3000,1.7,-7.2,0,0,37242823,0,5.2
Robert Woods,HOU,LAC,WR,3700,2.9,-7.5,0,0,37242783,0,7.5
Jordan Whittington,LA,MIN,WR,3300,2.1,-7.5,0,0,37242799,0,5.9
Tutu Atwell,LA,MIN,WR,3800,3,-7.5,0,0,37242779,0,8.1
MyCole Pruitt,PIT,@BAL,TE,2500,0.5,-7.5,0,0,37243077,0,2
Simi Fehoko,LAC,@HOU,WR,3000,1.4,-7.6,0,0,37242903,0,4.6
Quintin Morris,BUF,DEN,TE,2500,0.3,-7.7,0,0,37243049,0,1.2
Hayden Hurst,LAC,@HOU,TE,2500,0.3,-7.7,0,0,37243053,0,1.1
Hunter Long,LA,MIN,TE,2500,0.3,-7.7,0,0,37243007,0,1
Davis Allen,LA,MIN,TE,2500,0.3,-7.7,0,0,37243009,0,1
Johnny Mundt,MIN,@LA,TE,2500,0.3,-7.7,0,0,37242999,0,1.2
Jahan Dotson,PHI,GB,WR,3500,2.3,-7.7,0,0,37242789,0,6.3
Devin Culp,TB,WAS,TE,2700,0.6,-7.7,0,0,37242983,0,2.4
Ben Sinnott,WAS,@TB,TE,2500,0.3,-7.7,0,0,37243013,0,1.1
Ray Davis,BUF,DEN,RB,4700,4.5,-7.8,0,0,37242625,0.5,11.4
John FitzPatrick,GB,@PHI,TE,2500,0.1,-7.8,0,0,37243035,0,0.5
Ben Sims,GB,@PHI,TE,2500,0.1,-7.8,0,0,37243033,0,0.5
Irv Smith Jr.,HOU,LAC,TE,2500,0.1,-7.8,0,0,37243061,0,0.5
E.J. Jenkins,PHI,GB,TE,2500,0.1,-7.9,0,0,37243029,0,0.5
Devontez Walker,BAL,PIT,WR,3000,0.8,-8.2,0,0,37242925,0,3
Ryan Miller,TB,WAS,WR,3000,0.8,-8.2,0,0,37242855,0,3
Kenneth Gainwell,PHI,GB,RB,4600,3.8,-8.3,0,0,37242627,0.3,9.3
Rakim Jarrett,TB,WAS,WR,3000,0.6,-8.3,0,0,37242859,0,2.5
Diontae Johnson,HOU,LAC,WR,3500,1.5,-8.4,0.9,0.3,37242791,0,4.9
Trey Palmer,TB,WAS,WR,3000,0.5,-8.5,0,0,37242857,0,1.8
Payne Durham,TB,WAS,TE,3100,0.6,-8.5,0,0,37242975,0,2.5
Trent Sherfield Sr.,MIN,@LA,WR,3000,0.3,-8.6,0,0,37242825,0,1.2
Brandon Powell,MIN,@LA,WR,3000,0.3,-8.6,0,0,37242827,0,1.2
Xavier Smith,LA,MIN,WR,3000,0.2,-8.7,0,0,37242839,0,1.1
Ben Skowronek,PIT,@BAL,WR,3000,0.2,-8.7,0,0,37242941,0,0.9
Tyler Johnson,LA,MIN,WR,3000,0.1,-8.8,0,0,37242837,0,0.5
Ainias Smith,PHI,GB,WR,3000,0.1,-8.8,0,0,37242871,0,0.4
Audric Estime,DEN,@BUF,RB,4600,3.2,-8.9,0,0,37242629,0.1,9
Johnny Wilson,PHI,GB,WR,3200,0.4,-8.9,0,0,37242811,0,1.7
Malik Heath,GB,@PHI,WR,3600,1,-9.2,0,0,37242787,0,3.5
Dare Ogunbowale,HOU,LAC,RB,4100,1.8,-9.3,0,0,37242647,0,5
Chris Brooks,GB,@PHI,RB,4400,2.2,-9.5,0,0,37242633,0,5.9
Ronnie Rivers,LA,MIN,RB,4100,1.6,-9.5,0,0,37242645,0,4.9
Cordarrelle Patterson,PIT,@BAL,RB,4000,1.2,-9.7,0,0,37242713,0,4
Emanuel Wilson,GB,@PHI,RB,4900,2.9,-9.8,0,0,37242615,0,7.5
Sean Tucker,TB,WAS,RB,4000,1.1,-9.8,0,0,37242671,0,3.8
Michael Burton,DEN,@BUF,RB,4000,0.9,-10,0,0,37242689,0,3
C.J. Ham,MIN,@LA,RB,4000,0.6,-10.3,0,0,37242665,0,2.3
Hassan Haskins,LAC,@HOU,RB,4400,1.3,-10.4,0,0,37242635,0,3.9
Jeremy McNichols,WAS,@TB,RB,4000,0.6,-10.4,0,0,37242655,0,2.1
Patrick Ricard,BAL,PIT,RB,4000,0.4,-10.5,0,0,37242711,0,1.7
Chris Rodriguez Jr.,WAS,@TB,RB,4000,0.3,-10.6,0,0,37242651,0,1.2
Rasheen Ali,BAL,PIT,RB,4000,0.2,-10.7,0,0,37242661,0,0.7
Scott Matlock,LAC,@HOU,RB,4000,0.2,-10.7,0,0,37242695,0,0.9
Reggie Gilliam,BUF,DEN,RB,4000,0.2,-10.8,0,0,37242693,0,0.5
Keaton Mitchell,BAL,PIT,RB,4200,0.2,-11.1,0,0,37242643,0,0.8
Ty Chandler,MIN,@LA,RB,4300,0.1,-11.4,0,0,37242639,0,0.5
Dameon Pierce,HOU,LAC,RB,4700,0.7,-11.6,0,0,37242623,0,2.7
Justin Fields,PIT,@BAL,QB,4800,0.1,-14.9,0,0,37242559,0,0.4
